#mpa_vJan21_CHOCOPhlAnSGB_202103
#/home/favero/.local/bin/metaphlan -t rel_ab_w_read_stats --unclassified_estimation 10WT-6m_S4_Buone_R1.fastq,10WT-6m_S4_Buone_R2.fastq --bowtie2out 10WT-6m_S4.bowtie2.bz2 --nproc 22 --input_type fastq -o 10WT-6m_S4.metaphlan.txt
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:193863520
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	49.25301	-	0
k__Bacteria	2	50.74699	8.65633	193863520
k__Bacteria|p__Bacteroidetes	2|976	25.88665	4.4157	90401052
k__Bacteria|p__Firmicutes	2|1239	22.8812	3.90303	71923236
k__Bacteria|p__Bacteria_unclassified	2|35929085	0.96862	0.16523	4281347
k__Bacteria|p__Actinobacteria	2|201174	0.50306	0.08581	1625806
k__Bacteria|p__Proteobacteria	2|1224	0.26385	0.04501	851795
k__Bacteria|p__Tenericutes	2|544448	0.22212	0.03789	501578
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.01293	0.00221	31913
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.00857	0.00146	13853
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	23.80326	4.06032	72292974
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	13.05246	2.22646	28610214
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	4.93595	0.84197	19426008
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	2.13038	0.3634	5464302
k__Bacteria|p__Bacteroidetes|c__CFGB9388	2|976|	0.75721	0.12916	1951332
k__Bacteria|p__Bacteroidetes|c__CFGB636	2|976|	0.51582	0.08799	1402020
k__Bacteria|p__Firmicutes|c__CFGB10299	2|1239|	0.50656	0.08641	884310
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2|35929085|	0.48151	0.08214	1817946
k__Bacteria|p__Bacteroidetes|c__CFGB9395	2|976|	0.44467	0.07585	897246
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.40876	0.06973	1157568
k__Bacteria|p__Firmicutes|c__CFGB9636	2|1239|	0.32027	0.05463	1105710
k__Bacteria|p__Firmicutes|c__CFGB9633	2|1239|	0.30137	0.05141	1152480
k__Bacteria|p__Firmicutes|c__CFGB8157	2|1239|	0.28438	0.04851	455898
k__Bacteria|p__Firmicutes|c__CFGB9596	2|1239|	0.23507	0.0401	737490
k__Bacteria|p__Tenericutes|c__Mollicutes	2|544448|31969	0.22212	0.03789	429924
k__Bacteria|p__Firmicutes|c__CFGB10348	2|1239|	0.20098	0.03428	557232
k__Bacteria|p__Bacteria_unclassified|c__CFGB8123	2|35929085|	0.19452	0.03318	677484
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.18087	0.03085	509820
k__Bacteria|p__Bacteroidetes|c__CFGB637	2|976|	0.14926	0.02546	428868
k__Bacteria|p__Bacteroidetes|c__CFGB4425	2|976|	0.09634	0.01643	256248
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.0943	0.01609	235980
k__Bacteria|p__Firmicutes|c__CFGB9506	2|1239|	0.09332	0.01592	170694
k__Bacteria|p__Proteobacteria|c__CFGB9469	2|1224|	0.08297	0.01415	220290
k__Bacteria|p__Firmicutes|c__CFGB9618	2|1239|	0.07939	0.01354	254364
k__Bacteria|p__Firmicutes|c__CFGB11371	2|1239|	0.07766	0.01325	212892
k__Bacteria|p__Firmicutes|c__CFGB9658	2|1239|	0.07516	0.01282	240372
k__Bacteria|p__Bacteroidetes|c__CFGB9384	2|976|	0.07438	0.01269	154506
k__Bacteria|p__Firmicutes|c__CFGB28800	2|1239|	0.06401	0.01092	238956
k__Bacteria|p__Firmicutes|c__CFGB9516	2|1239|	0.06288	0.01073	126192
k__Bacteria|p__Firmicutes|c__CFGB9511	2|1239|	0.0543	0.00926	98046
k__Bacteria|p__Firmicutes|c__CFGB9659	2|1239|	0.05256	0.00897	218208
k__Bacteria|p__Firmicutes|c__CFGB9827	2|1239|	0.05204	0.00888	114384
k__Bacteria|p__Firmicutes|c__CFGB9639	2|1239|	0.03951	0.00674	162672
k__Bacteria|p__Firmicutes|c__CFGB9990	2|1239|	0.03639	0.00621	116550
k__Bacteria|p__Firmicutes|c__CFGB28398	2|1239|	0.03543	0.00604	61722
k__Bacteria|p__Firmicutes|c__CFGB9660	2|1239|	0.03261	0.00556	129438
k__Bacteria|p__Firmicutes|c__CFGB28941	2|1239|	0.02964	0.00506	100566
k__Bacteria|p__Firmicutes|c__CFGB9629	2|1239|	0.02756	0.0047	81234
k__Bacteria|p__Firmicutes|c__CFGB10253	2|1239|	0.02212	0.00377	38880
k__Bacteria|p__Firmicutes|c__CFGB9850	2|1239|	0.01343	0.00229	35478
k__Bacteria|p__Bacteroidetes|c__CFGB10197	2|976|	0.01293	0.00221	103422
k__Bacteria|p__Firmicutes|c__CFGB9512	2|1239|	0.01121	0.00191	18960
k__Bacteria|p__Firmicutes|c__CFGB9960	2|1239|	0.01079	0.00184	29412
k__Bacteria|p__Firmicutes|c__CFGB31439	2|1239|	0.01059	0.00181	17088
k__Bacteria|p__Firmicutes|c__CFGB9479	2|1239|	0.0105	0.00179	43680
k__Bacteria|p__Proteobacteria|c__CFGB9318	2|1224|	0.00857	0.00146	0
k__Bacteria|p__Bacteria_unclassified|c__CFGB9644	2|35929085|	0.00821	0.0014	32310
k__Bacteria|p__Firmicutes|c__CFGB9517	2|1239|	0.00598	0.00102	12864
k__Bacteria|p__Firmicutes|c__CFGB9510	2|1239|	0.00276	0.00047	4074
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.00139	0.00024	5298
k__Bacteria|p__Firmicutes|c__CFGB9650	2|1239|	0.00099	0.00017	2784
k__Bacteria|p__Firmicutes|c__CFGB9836	2|1239|	0.00058	0.0001	1794
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	23.80326	4.06032	60244145
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	13.0369	2.22381	23803110
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	4.32332	0.73746	15207070
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	2.13038	0.3634	4553585
k__Bacteria|p__Bacteroidetes|c__CFGB9388|o__OFGB9388	2|976||	0.75721	0.12916	1626110
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.61263	0.1045	981270
k__Bacteria|p__Bacteroidetes|c__CFGB636|o__OFGB636	2|976||	0.51582	0.08799	1168350
k__Bacteria|p__Firmicutes|c__CFGB10299|o__OFGB10299	2|1239||	0.50656	0.08641	736925
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified	2|35929085||	0.48151	0.08214	1514955
k__Bacteria|p__Bacteroidetes|c__CFGB9395|o__OFGB9395	2|976||	0.44467	0.07585	747705
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.39942	0.06813	947090
k__Bacteria|p__Firmicutes|c__CFGB9636|o__OFGB9636	2|1239||	0.32027	0.05463	921425
k__Bacteria|p__Firmicutes|c__CFGB9633|o__OFGB9633	2|1239||	0.30137	0.05141	960400
k__Bacteria|p__Firmicutes|c__CFGB8157|o__OFGB8157	2|1239||	0.28438	0.04851	379915
k__Bacteria|p__Firmicutes|c__CFGB9596|o__OFGB9596	2|1239||	0.23507	0.0401	614575
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales	2|544448|31969|186329	0.22212	0.03789	358270
k__Bacteria|p__Firmicutes|c__CFGB10348|o__OFGB10348	2|1239||	0.20098	0.03428	464360
