#mpa_vJan21_CHOCOPhlAnSGB_202103
#/home/favero/.local/bin/metaphlan -t rel_ab_w_read_stats --unclassified_estimation 5AD-6m_S6_Buone_R1.fastq,5AD-6m_S6_Buone_R2.fastq --bowtie2out 5AD-6m_S6.bowtie2.bz2 --nproc 22 --input_type fastq -o 5AD-6m_S6.metaphlan.txt
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:221810504
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	46.01343	-	0
k__Bacteria	2	53.98657	9.43698	221810504
k__Bacteria|p__Bacteroidetes	2|976	32.73664	5.72244	123977021
k__Bacteria|p__Firmicutes	2|1239	18.91751	3.30683	62706693
k__Bacteria|p__Actinobacteria	2|201174	1.41854	0.24796	3900393
k__Bacteria|p__Proteobacteria	2|1224	0.49303	0.08618	1656865
k__Bacteria|p__Bacteria_unclassified	2|35929085	0.40336	0.07051	1802185
k__Bacteria|p__Tenericutes	2|544448	0.01482	0.00259	34286
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.00267	0.00047	6748
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	30.93605	5.40769	101601108
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	10.456	1.82773	23556906
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	4.5749	0.7997	17269422
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.82108	0.14353	1680372
k__Bacteria|p__Firmicutes|c__CFGB9618	2|1239|	0.76555	0.13382	2513712
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.59747	0.10444	1662822
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.56441	0.09866	1453284
k__Bacteria|p__Firmicutes|c__CFGB9660	2|1239|	0.55911	0.09773	2274018
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.49125	0.08587	1415322
k__Bacteria|p__Firmicutes|c__CFGB10348	2|1239|	0.45578	0.07967	1384080
k__Bacteria|p__Bacteroidetes|c__CFGB9388	2|976|	0.44858	0.07841	1184598
k__Bacteria|p__Bacteroidetes|c__CFGB636	2|976|	0.43761	0.0765	1218900
k__Bacteria|p__Bacteroidetes|c__CFGB637	2|976|	0.39312	0.06872	1157538
k__Bacteria|p__Bacteroidetes|c__CFGB9395	2|976|	0.37285	0.06518	770958
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2|35929085|	0.21648	0.03784	875220
k__Bacteria|p__Firmicutes|c__CFGB9629	2|1239|	0.18288	0.03197	552318
k__Bacteria|p__Firmicutes|c__CFGB9596	2|1239|	0.16354	0.02859	525774
k__Bacteria|p__Firmicutes|c__CFGB9636	2|1239|	0.14959	0.02615	529260
k__Bacteria|p__Bacteria_unclassified|c__CFGB8123	2|35929085|	0.14836	0.02593	512268
k__Bacteria|p__Firmicutes|c__CFGB9827	2|1239|	0.09015	0.01576	203052
k__Bacteria|p__Firmicutes|c__CFGB9960	2|1239|	0.08578	0.01499	239634
k__Bacteria|p__Firmicutes|c__CFGB28755	2|1239|	0.07628	0.01333	427812
k__Bacteria|p__Firmicutes|c__CFGB9658	2|1239|	0.07097	0.0124	236952
k__Bacteria|p__Bacteroidetes|c__CFGB9384	2|976|	0.05935	0.01037	126336
k__Bacteria|p__Firmicutes|c__CFGB10299	2|1239|	0.04353	0.00761	82440
k__Bacteria|p__Firmicutes|c__CFGB9633	2|1239|	0.04189	0.00732	146148
k__Bacteria|p__Firmicutes|c__CFGB8157	2|1239|	0.02985	0.00522	59880
k__Bacteria|p__Firmicutes|c__CFGB9659	2|1239|	0.02829	0.00495	120366
k__Bacteria|p__Firmicutes|c__CFGB9650	2|1239|	0.02181	0.00381	63120
k__Bacteria|p__Firmicutes|c__CFGB9990	2|1239|	0.02148	0.00376	70506
k__Bacteria|p__Firmicutes|c__CFGB28800	2|1239|	0.02108	0.00368	80622
k__Bacteria|p__Firmicutes|c__CFGB9850	2|1239|	0.0183	0.0032	49536
k__Bacteria|p__Tenericutes|c__Mollicutes	2|544448|31969	0.01482	0.00259	29388
k__Bacteria|p__Firmicutes|c__CFGB9639	2|1239|	0.01324	0.00231	55866
k__Bacteria|p__Bacteria_unclassified|c__CFGB9644	2|35929085|	0.00866	0.00151	34944
k__Bacteria|p__Firmicutes|c__CFGB10340	2|1239|	0.00748	0.00131	16146
