#NAME	SampleType
2WT-2m_S1	WT_2m
3WT-2m_S1	WT_2m
5WT-2m_S2	WT_2m
8WT-2m_S3	WT_2m
9WT-2m_S4	WT_2m
10WT-2m_S5	WT_2m
2AD-2m_S6	AD_2m
4AD-2m_S2	AD_2m
5AD-2m_S7	AD_2m
8AD-2m_S8	AD_2m
9AD-2m_S9	AD_2m
10AD-2m_S10	AD_2m
2WT-6m_S11	WT_6m
3WT-6m_S1	WT_6m
5WT-6m_S12	WT_6m
8WT-6m_S2	WT_6m
9WT-6m_S3	WT_6m
10WT-6m_S4	WT_6m
2AD-6m_S5	AD_6m
4AD-6m_S7	AD_6m
5AD-6m_S6	AD_6m
8AD-6m_S8	AD_6m
9AD-6m_S9	AD_6m
10AD-6m_S10	AD_6m
2WT-12m_S1	WT_12m
5WT-12m_S2	WT_12m
6WT-12m_S4	WT_12m
8WT-12m_S3	WT_12m
9WT-12m_S5	WT_12m
10WT-12m_S6	WT_12m
2AD-12m_S7	AD_12m
5AD-12m_S8	AD_12m
6AD-12m_S9	AD_12m
8AD-12m_S10	AD_12m
9AD-12m_S11	AD_12m
10AD-12m_S12	AD_12m
